Tier1,Tier2,Tier3,Tier4
Central Transantarctic Mountains,Shackleton Glacier,Nilsen Peak,Nilsen Peak
Central Transantarctic Mountains,Shackleton Glacier,Mount Speed,Mount Speed
Central Transantarctic Mountains,Shackleton Glacier,Mount Wendland,Mount Wendland
Central Transantarctic Mountains,Shackleton Glacier,Nilsen Peak,Nilsen Peak
Central Transantarctic Mountains,Shackleton Glacier,Mount Wendland,Mount Wendland
Central Transantarctic Mountains,Shackleton Glacier,Taylor Nunatak,Taylor Nunatak
Central Transantarctic Mountains,Shackleton Glacier,Mount Speed,Mount Speed
Central Transantarctic Mountains,Shackleton Glacier,Mount Wendland,Mount Wendland
Central Transantarctic Mountains,Shackleton Glacier,Mount Greenlee,Mount Greenlee
Central Transantarctic Mountains,Shackleton Glacier,Mount Speed,Mount Speed
Central Transantarctic Mountains,Shackleton Glacier,Mount Cole,Mount Cole
Central Transantarctic Mountains,Shackleton Glacier,Mount Greenlee,Mount Greenlee
